t,u,y,r
43928,30.00845718383789,-117.9756088256836,-183.57017517089844
34580,130.00845336914062,-171.33123779296875,-183.57017517089844
57729,182.97445678710938,-209.08680725097656,-183.57017517089844
43897,164.74496459960938,-212.7659912109375,-183.57017517089844
22343,140.40609741210938,-197.2505340576172,-183.57017517089844
22427,119.35971069335938,-184.33973693847656,-183.57017517089844
22346,102.52133178710938,-175.98974609375,-183.57017517089844
22349,89.10336303710938,-171.27877807617188,-183.57017517089844
22349,78.07308959960938,-169.00083923339844,-183.57017517089844
22357,68.58505249023438,-168.1885986328125,-183.57017517089844
22373,60.072357177734375,-168.1889190673828,-183.57017517089844
22343,52.184906005859375,-168.60557556152344,-183.57017517089844
22329,44.721038818359375,-169.21400451660156,-183.57017517089844
22327,37.572845458984375,-169.89488220214844,-183.57017517089844
22313,30.676361083984375,-170.58865356445312,-183.57017517089844
66561,-69.3235855102539,-171.26690673828125,-769.1296997070312
48299,-169.32363891601562,-171.91891479492188,-769.1296997070312
72300,-269.32366943359375,-200.12716674804688,-769.1296997070312
42839,-369.32366943359375,-254.98318481445312,-769.1296997070312
80376,-393.37451171875,-335.3728942871094,-769.1296997070312
41135,-371.41961669921875,-439.99951171875,-769.1296997070312
41102,-353.11749267578125,-544.9569702148438,-769.1296997070312
41117,-338.9970397949219,-635.8424682617188,-769.1296997070312
56077,-238.99703979492188,-713.4609985351562,-769.1296997070312
79698,-154.56520080566406,-778.8909301757812,-769.1296997070312
41116,-165.3069610595703,-806.685546875,-769.1296997070312
41108,-178.80380249023438,-802.3989868164062,-769.1296997070312
41159,-194.12265014648438,-795.254638671875,-769.1296997070312
41128,-210.53648376464844,-786.4067993164062,-769.1296997070312
41127,-227.48825073242188,-776.7098388671875,-769.1296997070312
41127,-244.5597686767578,-766.779541015625,-769.1296997070312
41122,-261.44512939453125,-757.0439453125,-769.1296997070312
43927,-293.60723876953125,-747.785888671875,-769.1296997070312
22400,-323.25762939453125,-739.177978515625,-769.1296997070312
22393,-341.30645751953125,-735.9451293945312,-769.1296997070312
34584,-441.30645751953125,-737.375244140625,-806.8505859375
45273,-427.61883544921875,-740.041015625,-806.8505859375
22414,-393.15850830078125,-768.2437133789062,-806.8505859375
22422,-390.64727783203125,-787.5874633789062,-806.8505859375
22393,-400.57061767578125,-792.1277465820312,-806.8505859375
22401,-414.32794189453125,-791.7921142578125,-806.8505859375
22382,-428.49053955078125,-790.5191040039062,-806.8505859375
22370,-441.94659423828125,-789.6051025390625,-806.8505859375
22366,-454.48956298828125,-789.2911987304688,-806.8505859375
22353,-466.20489501953125,-789.47412109375,-806.8505859375
22358,-477.27520751953125,-789.9837036132812,-806.8505859375
22353,-487.80450439453125,-790.6729736328125,-806.8505859375
22376,-497.92364501953125,-791.44775390625,-806.8505859375
22374,-507.66094970703125,-792.242919921875,-806.8505859375
22386,-517.0838012695312,-793.0305786132812,-806.8505859375
22381,-526.1907348632812,-793.7886352539062,-806.8505859375
22379,-535.0193481445312,-794.5131225585938,-806.8505859375
22364,-543.5838012695312,-795.19677734375,-806.8505859375
